year,shortYear,club,finalPosition,salary
2011/2012,2012,Manchester united,2,13461773
2011/2012,2012,Manchester city,1,4160000
2011/2012,2012,Arsenal,3,24310000
2011/2012,2012,Chelsea,6,31588659
2011/2012,2012,Liverpool,8,1092000
2011/2012,2012,Tottenham,4,3120000
2011/2012,2012,Leciester,,2340000
2012/2013,2013,Manchester united,1,14254898
2012/2013,2013,Manchester city,2,4160000
2012/2013,2013,Arsenal,4,49713039
2012/2013,2013,Chelsea,3,67884760
2012/2013,2013,Liverpool,7,4835116
2012/2013,2013,Tottenham,5,3120000
2012/2013,2013,Leciester,,2340000
2013/2014,2014,Manchester united,7,35880000
2013/2014,2014,Manchester city,1,16016000
2013/2014,2014,Arsenal,4,67880327
2013/2014,2014,Chelsea,3,90007313
2013/2014,2014,Liverpool,2,7540000
2013/2014,2014,Tottenham,6,7280000
2013/2014,2014,Leciester,,2340000
2014/2015,2015,Manchester united,4,62920000
2014/2015,2015,Manchester city,2,78520000
2014/2015,2015,Arsenal,3,111961499
2014/2015,2015,Chelsea,1,121228229
2014/2015,2015,Liverpool,6,29978000
2014/2015,2015,Tottenham,5,10400000
2014/2015,2015,Leciester,14,5824000
2015/2016,2016,Manchester united,5,95940000
2015/2016,2016,Manchester city,4,107952000
2015/2016,2016,Arsenal,2,108084444
2015/2016,2016,Chelsea,10,14676065
2015/2016,2016,Liverpool,8,76518000
2015/2016,2016,Tottenham,3,29016000
2015/2016,2016,Leciester,1,18642000
2016/2017,2017,Manchester united,6,140504000
2016/2017,2017,Manchester city,3,139828000
2016/2017,2017,Arsenal,5,114614240
2016/2017,2017,Chelsea,1,140153724
2016/2017,2017,Liverpool,4,87755200
2016/2017,2017,Tottenham,2,73632000
2016/2017,2017,Leciester,12,63778000
2017/2018,2018,Manchester united,2,11440000
2017/2018,2018,Manchester city,1,144274000
2017/2018,2018,Arsenal,6,126144713
2017/2018,2018,Chelsea,5,145554000
2017/2018,2018,Liverpool,4,100396000
2017/2018,2018,Tottenham,3,83616000
2017/2018,2018,Leciester,9,75186800
2018/2019,2019,Manchester united,6,152600000
2018/2019,2019,Manchester city,1,150666000
2018/2019,2019,Arsenal,5,138531273
2018/2019,2019,Chelsea,3,160759000
2018/2019,2019,Liverpool,2,136328000
2018/2019,2019,Tottenham,4,90766000
2018/2019,2019,Leciester,9,85534800
2019/2020,2020,Manchester united,3,180735000
2019/2020,2020,Manchester city,2,152657000
2019/2020,2020,Arsenal,8,127526275
2019/2020,2020,Chelsea,4,144002000
2019/2020,2020,Liverpool,1,130834000
2019/2020,2020,Tottenham,6,92778000
2019/2020,2020,Leciester,5,85031800